date,AAPL,AMZN,JPM,MSFT,NVDA,SPY,UNH,XOM
2021-01-04,143301900,88228000,16819900,37130100,560640000,110210800,4203800,27764700
2021-01-05,97664900,53110000,13731200,23823000,322760000,66426200,3160500,44035100
2021-01-06,155088000,87896000,24909100,35930700,580424000,107997700,6561400,36484800
2021-01-07,109578200,70290000,21940400,27694500,461480000,68766800,3366700,29528100
2021-01-08,105158200,70754000,12035100,22956200,292528000,71677200,2947800,28628200
2021-01-11,100384500,73668000,15937900,23031300,518344000,51034700,2695100,38246200
2021-01-12,91951100,70292000,18033500,23249300,291476000,52547700,2372500,36915100
2021-01-13,88636800,66424000,14816800,20087100,210028000,45303600,1974500,29000300
2021-01-14,90221800,61418000,18565600,29480800,283120000,49989100,2919900,35474800
2021-01-15,111598500,84880000,27881000,31746500,277780000,107160000,3777000,42411300
2021-01-19,90757300,66102000,19843800,30480900,226188000,51233300,3361300,24932600
2021-01-20,104319500,106196000,16028800,37777300,258572000,61836100,3036800,22342400
2021-01-21,120150900,98722000,13411700,30709400,337780000,47840100,3749800,29044500
2021-01-22,114459400,56438000,12933200,30172700,246820000,52860500,2585100,23264800
2021-01-25,157611700,74996000,14212800,33152100,251112000,70402000,2506300,26395800
2021-01-26,98390600,59104000,11307800,49169600,163980000,42665300,2467500,23976800
2021-01-27,140843800,93204000,17603900,69870600,371272000,123351100,4770900,32410300
2021-01-28,142621100,62984000,13761800,49111200,228316000,94198100,2769900,24967200
2021-01-29,177523800,85872000,14808100,42503100,271552000,126765100,3899200,38961100
2021-02-01,106239800,83204000,11080700,33314200,217204000,75817600,3020200,24412400
2021-02-02,83305400,141972000,12253600,25916300,220440000,64450700,2663700,31940400
2021-02-03,89880900,141776000,10600800,27158100,245408000,52427100,2537100,28459300
2021-02-04,84183100,73414000,12419500,25296100,201340000,47142600,5962200,25280300
2021-02-05,75693800,72416000,10051300,18054800,169152000,48669800,7227900,34980100
2021-02-08,71297200,65148000,10136400,22211900,434624000,38365200,4758200,36998700
2021-02-09,76774200,44070000,8614800,23565000,287560000,35551100,4096900,28977000
2021-02-10,73046600,63032000,10323200,22186700,485352000,59154400,4122700,25723800
2021-02-11,64280000,46028000,9201000,15751100,450828000,42913300,2776700,26972200
2021-02-12,60145100,46706000,8324600,16561100,374756000,50593300,2760800,19756700
2021-02-16,80576300,51494000,12130600,26728500,321960000,50972400,4339000,28060100
2021-02-17,97918500,65950000,10810100,21653500,274756000,52290600,2620000,25509700
2021-02-18,96856700,60548000,10587800,16925600,233868000,59712800,2383500,20627600
2021-02-19,87668800,86104000,11969800,25262600,271724000,83241000,2313800,22607200
2021-02-22,103916400,70314000,11488400,36446900,325884000,67414200,2688300,36435100
2021-02-23,158273000,93544000,16234400,30228700,391780000,107284100,3225700,33527900
2021-02-24,111039900,60226000,15061400,26339700,448320000,72433900,3360500,28728600
2021-02-25,148199500,90676000,18127700,39542200,824436000,146670500,2780100,29670900
2021-02-26,164560400,85518000,19829200,37819200,500932000,152701600,5430000,35291000
2021-03-01,116307900,54582000,14845500,25324000,353184000,105348800,4198900,36998300
2021-03-02,102260900,51916000,14221700,22812500,264116000,79595300,2568900,30302600
2021-03-03,112966300,79774000,14324100,34029500,377592000,119940200,3039700,35358900
2021-03-04,178155000,109632000,20093900,44727800,573344000,183433000,4991600,52137500
2021-03-05,153766600,107772000,18465100,41872800,542840000,152039600,4563100,51429800
2021-03-08,154376600,83700000,17133300,35267400,543112000,123149200,3419900,38154600
2021-03-09,129525800,80600000,16238800,33080500,521824000,113633600,4277600,35645900
2021-03-10,111943300,60250000,14342200,29746800,384376000,109899400,3012300,31579100
2021-03-11,103026500,55528000,11771500,29907600,299916000,86245000,2520500,24802600
2021-03-12,88105100,48438000,12849500,22653700,243964000,64653600,2088700,20422700
2021-03-15,92403800,58272000,12101100,26034900,221988000,73427200,2343400,31243600
2021-03-16,115227900,50776000,12805600,28092200,272128000,73722500,2904200,30624800
2021-03-17,111932600,62372000,13952400,29562100,243864000,97959300,2633100,25575500
2021-03-18,121229700,72992000,21898500,34833000,293896000,115349100,3311600,38622800
2021-03-19,185549500,92508000,54418800,46430700,299208000,113624500,8572900,84439400
2021-03-22,111912300,58044000,19944800,30127000,297804000,73778600,3505200,29315100
2021-03-23,95467100,76346000,17076300,31638400,222048000,90686600,3100100,33493300
2021-03-24,88530500,59180000,13079800,25620100,245840000,97588600,3407800,29781800
2021-03-25,98844700,71270000,15608300,34061900,295144000,116128600,3021500,31495900
2021-03-26,94071200,66258000,16754400,25479900,363968000,114409100,2959800,34226500
2021-03-29,80819200,54920000,17570300,25227500,273520000,108107600,2740400,21144400
2021-03-30,85671900,46752000,13184300,24792000,200204000,76262200,3066000,20303400
2021-03-31,118323800,61878000,16736700,43623500,314776000,112734200,3356500,23686500
2021-04-01,75089100,58806000,16561500,30338000,308276000,99682900,2977700,23194500
2021-04-05,88651200,66698000,13508000,36910600,255672000,91684800,2709400,23264800
